PMID,Sentence,label
31485783,The underlying mechanism of miR-548b-3p-induced cell proliferation inhibition and apoptosis may be associated with the inhibition of PI3K/AKT signaling pathway.,Complex Sentence
38404987,"Circulating tumor DNA (ctDNA) mutations were more likely detected in COPD patients with lung cancer who had advanced tumor stages, elevated C-reactive protein (CRP) levels, or milder emphysema, as validated by high-accuracy machine learning models, which suggests the potential of ctDNA as a non-invasive biomarker for this high-risk population",Complex Sentence
38132225,"The Naples Prognostic Score, which incorporates inflammatory and nutritional markers, was significantly correlated with overall survival and cancer-related survival in non-small cell lung cancer patients after curative surgery, demonstrating its utility as an independent prognostic indicator for long-term outcomes",Complex Sentence
37506267,"Notably, the expression rate of p16INK4a is significantly higher than the positivity of HPV DNA and of HPV E6/E7 mRNA, which suggests a difference in biomarker expression patterns",Complex Sentence
36645712,"Because lung cancer is often diagnosed at late stages, leading to high mortality rates, this study identified a non-invasive protein signature using serum microvesicles that can discriminate early-stage lung cancer patients from high-risk healthy subjects, offering a promising foundation for future diagnostic tools",Complex Sentence
33402978,"Because polymorphisms within miRNA binding sites, such as rs61764370 in the KRAS gene, are known to influence miRNA function, this study found that the GT genotype and G allele of rs61764370 significantly increase lung cancer risk in the Iranian population, suggesting its potential as a future biomarker for lung cancer detection.",Complex Sentence
38867745,"Since data on the epidemiology of lung cancer in Niger Delta states is scarce, this study aims to determine the epidemiological profile of lung cancer in two Niger Delta states in Nigeria",Complex Sentence
35463301,"Bruceine H, which suppresses the proliferation, migration, and invasion of lung cancer cells and enhances the therapeutic effects of gefitinib in xenograft models by inhibiting Notch3, offers a promising strategy to overcome EGFR-TKI resistance in non-small cell lung cancer (NSCLC) by modulating β-catenin and FOXO3a expression, thereby improving recurrence-free and overall survival.",Complex Sentence
32848276,"Despite the general reduction in lung cancer rates, the rate of lung cancer in non-smokers has been noted to be increasing",Complex Sentence
40027942,"While advanced-stage NSCLC patients benefit from targeted therapies guided by predictive biomarkers such as EGFR, ALK, and ROS1, early-stage patients often undergo surgery or stereotactic body radiotherapy (SBRT), which highlights the importance of screening programs like the Italian Lung Cancer Screening Network (RISP) for early detection and risk stratification to improve outcomes",Complex Sentence
36457117,"We demonstrate that autophagy promotes TIMP1 secretion and suppresses metastasis in a Rab37-dependent manner, which is supported by decreased tumor nodules and metastasis in a lung-to-lung mouse model.",Complex Sentence
37674596,"Within the institutional environment, participants identified systems-level, provider-level, and external barriers to and facilitators of lung cancer screening program implementation, which were categorized based on patient communication, resource availability, workload, attitudes, knowledge, and external networks",Complex Sentence
39258345,"Although low-dose computed tomography (LDCT) lung cancer screening has been established in smokers, its role in never smokers remains unclear.",Complex Sentence
35032477,"While the Lung-RADS system provides a highly structured reporting framework for lung nodules identified on screening LDCT scans, category S findings for incidental findings are reported at the discretion of individual readers, which can lead to high variability in reporting and potentially trigger unwarranted evaluations, patient distress, and increased costs",Complex Sentence
32902166,"We retrospectively evaluated the files of 170 patients with squamous NSCLC who were treated at the Department of Lung Cancer Surgery, Tianjin Medical University General Hospital, between January 2008 and December 2011.",Complex Sentence
37393461,"While liquid biomarkers are considered to have a high potential to address questions such as the selection of high-risk individuals and the management of indeterminate nodules by supporting pre- and post-Low Dose CT (LDCT) risk-assessment, they are currently not implemented or evaluated in screening studies or programs.",Complex Sentence
37403334,"Artificial neural network-based diagnostic models, which combine conventional laboratory indicators with tumor markers, demonstrated higher accuracy and clinical significance in predicting lung cancer compared to models using tumor markers alone, offering a convenient and cost-effective approach to improve early lung cancer diagnosis.",Complex Sentence
37738796,"The combination of SJZ and gefitinib exhibited synergistic effects on tumor growth inhibition in PC-9/GR-bearing nude mice, potentially through the regulation of BAX and BCL-2 expression and the modulation of glutamine metabolism markers, suggesting a novel mechanism for overcoming gefitinib resistance in lung cancer treatment.",Complex Sentence
39003938,"Although the pivotal role of asbestos in inducing lung cancer is well established, the precise causal relationships between exposures to asbestos, tobacco smoke, radon, and 'particulate' (PM2.5) air pollution remain obscure.",Complex Sentence
38863635,Chimeric antigen receptor (CAR) natural killer (NK) cell therapy represents a promising advancement in the field of oncology offering a novel approach to target and eliminate tumor cells with high specificity and reduced risk of immune-related adverse effects,Complex Sentence
33042275,"Cyclin K is frequently overexpressed in lung cancer and correlates with poor prognosis, as its depletion results in reduced proliferation, defective G2/M checkpoint, and enhanced radiosensitivity, suggesting that Cyclin K positively modulates the β-catenin/Cyclin D1 axis to promote tumorigenesis and radioresistance, which may represent a novel biomarker for lung cancer radiotherapy.",Complex Sentence
37920082,"Lung cancer and coronary heart disease, which share common risk factors and exhibit higher mortality risks with age, present challenges in treatment standardization, particularly for elderly patients, necessitating a review of surgical interventions to ensure safety and effectiveness",Complex Sentence
35515125,"Although immunotherapy has demonstrated clinically significant benefit for non-small-cell lung cancer, innate (primary) or acquired resistance remains a challenge.",Complex Sentence
37374269,"Uniportal minimally invasive anatomical segmentectomy, which demonstrated low 30-day morbidity and mortality rates and promising 3-year overall survival outcomes, offers a viable and effective surgical option for patients with pathological stage IA non-small cell lung cancer (NSCLC",Complex Sentence
32774270,"A 45-year-old Japanese HIV patient with locally advanced non-small cell lung cancer (NSCLC) was safely treated with durvalumab consolidation therapy after concurrent chemoradiotherapy (CCRT) without significant toxicities, demonstrating the potential safety of this treatment approach for HIV-positive patients despite the unknown clinical toxicities of immune checkpoint inhibitors in this population.",Complex Sentence
39199563,"Patients undergoing lung resection experienced significant increases in symptoms such as pain and dyspnea, along with physical fitness deterioration in both upper and lower limbs at discharge, which persisted one month after surgery, highlighting the need for targeted rehabilitation strategies",Complex Sentence
35222879,"Through nursing intervention, the quality of life indexes such as physiological, physical, social, emotional, and other indexes in the combined intervention group were significantly better than those in the routine intervention group, with statistical differences (P < 0.01)",Complex Sentence
37497010,"SMURF2, which is downregulated in non-small cell lung cancer (NSCLC) tissues and associated with favorable outcomes, inhibits tumor progression by promoting the ubiquitin-mediated degradation of ID2, leading to G1/S arrest and highlighting its potential as a target for novel antitumor therapies.",Complex Sentence
32802852,"Although the associations between periodontal disease, tooth loss, and lung cancer risk remain debatable, the results indicated that periodontal disease was positively associated with lung cancer risk (RR = 1.37, 95%CI = 1.16-1.63).",Complex Sentence
37915530,"Leptomeningeal metastasis (LM), a serious complication of advanced non-small cell lung cancer (NSCLC) with increasing incidence, presents a significant challenge in treatment due to the lack of consensus on optimal modalities, prompting a review of current therapies and efficacy evaluation methods to guide clinical practice and trial design.",Complex Sentence
33486417,"Although the immunohistochemistry results showed that the EGFR(L858R) protein was only expressed in the adenocarcinoma component, they indicate that the adenocarcinoma and SCLC components may not originate from identical cell clones.",Complex Sentence
32965992,"Although radon is tasteless, odorless, and colorless, measuring radon levels is the only way to know if a high exposure level exists.",Complex Sentence
35929779,"Higher oral microbiome alpha diversity, which was associated with lower lung cancer risk, and specific microbial genera, such as Streptococcus, which were linked to increased risk, highlight the potential of the oral microbiome as a target for lung cancer prevention, particularly among former smokers and squamous cell carcinoma cases.",Complex Sentence
35116243,"Livin expression is significantly associated with smoking status, lung adenocarcinoma (LAC), advanced TNM stage, poor differentiation, metastasis, and lower 5-year overall survival in lung cancer patients, suggesting its potential as a prognostic biomarker.",Complex Sentence
34541867,This review aims to discuss the imaging evaluation of lung cancer response to PD-1/PD-L1 therapy with focus on new radiological criteria for immunotherapy response.,Complex Sentence
38450307,"A higher C-reactive protein to albumin ratio (CAR) is significantly associated with poorer survival outcomes
 in lung cancer patients, highlighting its potential as a noninvasive prognostic biomarker.",Complex Sentence
32391224,"Although SCLCs most commonly present as large masses interfering with the airway, this malignancy may appear initially as a benign mass at a distant site.",Complex Sentence
38707745,"Baihe Gujin decoction, a traditional Chinese medicine, has demonstrated anti-tumor effects by inducing apoptosis, improving immune function, and inhibiting inflammation, which helps alleviate adverse reactions from radiotherapy, chemotherapy, and immunotherapy, thereby enhancing the quality of life and survival time of lung cancer patients.",Complex Sentence
34893037,"While health insurance was shown to protect some households from the impact of CHE, the incidence and intensity remained relatively high among households with lung cancer patients.""",Complex Sentence
33375213,"Understanding the incidence patterns of lung cancer is useful for monitoring and prevention, as the spatial autocorrelation analysis indicated some sites in Shenzhen as a high incidence rate spatial clustering area.",Complex Sentence
37379654,"Four machine learning algorithms gave median AUCs of 0.76-0.90 and 0.73-0.83 for the 1-3 year and 1-5 year proteins respectively, demonstrating the potential of plasma proteome biomarkers to identify individuals at high risk of lung cancer up to 12 years prior to diagnosis.",Complex Sentence
32647333,"Among women with cancer, age at diagnosis was positively related to 2D:4D, i.e., women with masculinized 2D:4D present earlier with the cancer than women with feminized 2D:4D.",Complex Sentence
37430487,"Since a three-dimensional thoracoscope can provide high resolution and accurate images, we compared the outcomes from using two-dimensional and three-dimensional video systems in thoracoscopic segmentectomy for lung cancer.",Complex Sentence
39295255,"The proposed method for lung cancer classification, utilizing image processing and machine learning techniques, demonstrates that the multi-layer perceptron (MLP) classifier outperforms other classifiers, achieving significantly higher accuracy in distinguishing between malignant and benign lung cancer.",Complex Sentence
38936598,"Lung cancer incidence among never-smokers is more closely associated with poor air quality and higher exposure to pollutants compared to smokers, suggesting that environmental factors play a significant role in lung cancer development in this population.",Complex Sentence
34306329,"Since H19 knockdown inhibited the response of lung cancer cells to ionizing radiation-induced DNA damage but promoted damage repair, it suggests that H19 functions as a modulator of DNA damage response in lung cancer cells",Complex Sentence
39449179,"Because individual observational studies on polyphenols and lung cancer risk have reported inconsistent findings, this systematic review and meta-analysis revealed that higher intakes of flavonoids, isoflavones, anthocyanidin, kaempferol, quercetin, and flavanones are associated with reduced odds of lung cancer, suggesting their potential protective effects.",Complex Sentence
39964654,"While celastrol has an inhibitory effect on non-small cell lung cancer, its significant toxic side effects limit its clinical application.",Complex Sentence
39005681,"Furthermore, a dose-response relationship was observed, with higher cumulative defined daily doses and greater daily intensity of statin use associated with reduced mortality",Complex Sentence
34187946,"Vanillin oxime inhibits lung cancer cell proliferation by inducing apoptosis through the TRAIL-mediated pathway, as evidenced by increased expression of pro-apoptotic proteins and suppression of anti-apoptotic proteins, suggesting its potential as a therapeutic agent for lung cancer.",Complex Sentence
32354891,"The percentages of MDM2 rs2279744 GT and GG genotypes, which were 50.0% and 27.4% in the lung cancer group and 50.0% and 26.5% in the control group, respectively, showed no significant association with lung cancer risk [odds ratio (OR)=1.03 and 1.07, 95% confidence interval (CI)=0.75-1.43 and 0.75-1.53, respectively].",Complex Sentence
32351841,"Stereotactic body radiation therapy (SBRT) to the right lung, particularly the right lower lobe (RLL), and in patients with prior lung-directed therapy significantly increases the risk of symptomatic radiation pneumonitis (RP), highlighting the need for further research to predict and prevent this dose-limiting toxicity.",Complex Sentence
34659550,"miR-4507, upregulated in non-small-cell lung cancer (NSCLC) cells, promotes proliferation and migration by targeting TP53 and activating the PI3K/AKT signaling pathway, suggesting its potential as a therapeutic target for NSCLC treatment.",Complex Sentence
32563984,"RBCm-OM/PLGA nanoparticles enhance the solubility, targeting, and antitumor efficacy of obatoclax
 mesylate, improving lung cancer treatment with prolonged circulation,
 increased tumor accumulation, and reduced side effects.",Complex Sentence
39803135,"While LDCT lung cancer screening reduces disease-related mortality, some uncertainties remain regarding the best strategy for implementing organized screening programs.",Complex Sentence
33976621,"Because the highly viscous nature of the malignant pleural effusion (MPE) initially prohibited drainage with standard catheters, intrapleural fibrinolytic therapy was successfully used to evacuate the effusion, demonstrating the feasibility and safety of this approach in an ambulatory setting.",Complex Sentence
32953538,"Multidisciplinary care in lung cancer is associated with improved patient outcomes, including increased survival rates, higher likelihood of receiving active treatment, and better adherence to treatment guidelines, supporting its recommendation despite the resource and financial costs involved.",Complex Sentence
39067623,"Although chest radiography is one of the most commonly performed imaging tests, lung cancer is the third most common cancer in the United States and is responsible for the most cancer deaths.",Complex Sentence
35692744,"Although lung cancer treatment is associated with huge costs for patients and society, there is an increasing interest in the prevention, early detection with screening, and development of new treatments.",Complex Sentence
34628245,"Because radon exposure is a significant contributor to lung cancer, this study modeled the cost-effectiveness of implementing radon-resistant foundation barriers in new and existing housing across Canada, finding that the intervention is cost-effective in most regions and could prevent an estimated 446 lung cancer cases annually, supporting the adoption of region-specific radon reduction policies.",Complex Sentence
33358847,Brachytherapy (BT) is a minimally invasive anticancer radiotherapeutic modality where the tumor is directly irradiated via a radioactive source that is precisely implanted in or adjacent to the tumor,Complex Sentence
32903755,"Nestin expression, which is associated with increased cell proliferation and reduced chemosensitivity in small cell lung cancer (SCLC), correlates with a worse prognosis, particularly in patients undergoing second-line chemotherapy, suggesting its potential as a biomarker for aggressive disease and treatment resistance",Complex Sentence
32953542,"Although observational studies suggest that integrated and coordinated care increases adherence to clinical guidelines, significantly shortens the interval from diagnosis to treatment, and may increase survival and quality of life (QoL), prospective studies are warranted to assess the real impact of MDT on treatment outcomes.",Complex Sentence
35738910,"Since 2018, the 8th edition of the TNM staging system has been used to stage lung cancer based on local tumor extent, nodal involvement, and metastases, which are crucial factors in determining disease progression.",Complex Sentence
35543192,"Baicalein, a flavonoid derived from Scutellaria baicalensis, exhibits potent anti-cancer properties against lung cancer by regulating cell proliferation, metastasis, apoptosis, and autophagy, making it a promising candidate for novel lung carcinoma treatment.",Complex Sentence
32974070,"The mean knowledge score of participants significantly increased from 5.26 to 8.19 after viewing the educational video (t = -5.956, p < .001), which suggests that social media can effectively increase awareness and understanding of lung cancer screening among high-risk individuals",Complex Sentence
39604008,"Nursing interventions, which significantly improve health-related quality of life, emotional symptoms, and self-care behaviors across the lung cancer trajectory, demonstrate varying effectiveness during diagnosis, treatment, and survival phases, underscoring the need for tailored nursing plans and increased research focus on end-of-life care.",Complex Sentence
36990532,"The back-breaking resistance mechanisms generated by lung cancer cells against epidermal growth factor receptor (EGFR), KRAS, and Janus kinase 2 (JAK2) directed therapies strongly prioritizes the requirement of novel therapies, which are perfectly tolerated, potentially cytotoxic, and can reinstate the drug-sensitivity in lung cancer cells.",Complex Sentence
37004434,"While existing methods face challenges due to limited annotated datasets and high inter-class similarities, our proposed Frequency Domain Transformer Model (FDTrans) improves lung cancer subtype classification by leveraging both spatial and frequency domain information.",Complex Sentence
35989271,"Although anti-Ri and anti-Hu antibodies have been reported as autoantibodies associated with neoplastic opsoclonus-myoclonus syndrome, there are no such reports concerning anti-SOX1 antibody.",Complex Sentence
34141625,"Since immune checkpoint inhibitors (ICIs) have significantly advanced lung cancer therapy but overall survival rates remain low, it is crucial to understand additional immunosuppressive mechanisms within the lung cancer microenvironment.",Complex Sentence
39909525,"Since accessing relevant information is crucial for navigating the challenges of lung cancer surgery, this study explored preoperative patients' experiences with health information-seeking behavior",Complex Sentence
34425080,"Review of the available literature demonstrated significant heterogeneity between studies in terms of the impact of delay, with paradoxical results such as improved survival in patients with advanced disease, likely due to methodologic flaws like incorrectly controlling for final pathologic stage or failing to account for confounding factors.",Complex Sentence
35682333,"Tobacco smoking, passive smoke exposure, alcohol consumption, and a history of lung disease were significantly associated with an increased risk of lung cancer, highlighting the need for policy development and prevention strategies in South Africa to address these risk factors.",Complex Sentence
38095986,"miR-320a modulates diverse cancer-associated molecules and signaling pathways, and it also influences the immune microenvironment during lung cancer pathogenesis, which suggests its potential as a diagnostic/prognostic marker and therapeutic target for lung cancer patients.",Complex Sentence
31863848,"Where data were available, cases were classified according to the Union for International Cancer Control TNM seventh edition stage groupings and then compared with the eighth edition groupings",Complex Sentence
32683484,Future studies could identify average length of time of each stage and how patients transfer between stages during resilience process,Complex Sentence
